geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
89226,-26.20815416294263,-48.83080425965728,joinville,SC
30310,-19.94094227338564,-43.926623807778995,belo horizonte,MG
96206,-32.178186006708195,-52.15598099850929,rio grande,RS
79150,-21.639249769926682,-55.162650692845624,maracaju,MS
83015,-25.556287588257323,-49.184195009806345,são josé dos pinhais,PR
74663,-16.632597450432748,-49.25399565540349,goiania,GO
63430,-6.3798105537204295,-38.829492945258046,ico,CE
2720,-23.49422956086676,-46.67814127872627,sao paulo,SP
26030,-22.730734458758448,-43.469309004884224,nova iguacu,RJ
2835,-23.473196790178285,-46.694975929511145,sao paulo,SP
97390,-30.807764181819373,-53.895850429963744,lavras do sul,RS
4001,-23.57533197584976,-46.65626212669515,sao paulo,SP
59056,-5.815591868717201,-35.20383280099833,natal,RN
91920,-30.1121309340964,-51.249408324399006,porto alegre,RS
68515,-6.039686589570192,-49.88846672875351,parauapebas,PA
13276,-22.977391876694988,-46.99781192801977,valinhos,SP
20751,-22.883316402158275,-43.30325250678065,rio de janeiro,RJ
15420,-20.501398460812663,-48.940703776299785,guaraci,SP
13930,-22.61334383604788,-46.69759325643482,serra negra,SP
60135,-3.749099720785983,-38.50324392783772,fortaleza,CE
44830,-11.732907850707212,-40.5530679806036,piritiba,BA
35360,-20.16573020748969,-42.524220343940094,sao pedro dos ferros,MG
78435,-13.462592928425643,-56.71879750843957,sao jose do rio claro,MT
3169,-23.551214196709584,-46.595260935872496,sao paulo,SP
19200,-22.27673722261052,-51.50010125125972,pirapozinho,SP
60810,-3.7619543733803766,-38.483741233499025,fortaleza,CE
52030,-8.036434267557249,-34.885435290178286,recife,PE
13101,-22.89966968970532,-47.01713808251479,campinas,SP
78280,-15.675849453401694,-58.09687239197125,mirassol d'oeste,MT
36033,-21.78529447293557,-43.36302257423973,juiz de fora,MG
28860,-22.48654824399918,-42.198532700126535,casimiro de abreu,RJ
25015,-22.79073215086717,-43.31691665169104,duque de caxias,RJ
13329,-23.168921742426058,-47.30722354579035,salto,SP
6454,-23.49200589736804,-46.84470942601509,barueri,SP
64019,-5.125093579861597,-42.80711585645813,teresina,PI
17523,-22.251312471002322,-49.935033,marilia,SP
89145,-26.95816783138273,-49.62930096488332,jose boiteux,SC
64045,-5.082288081924861,-42.75904393012225,teresina,PI
13334,-23.08131024063705,-47.20793283680533,indaiatuba,SP
15775,-20.197377163133584,-50.927714350549316,santa fe do sul,SP
37558,-22.253737047405828,-45.92977783032915,pouso alegre,MG
85851,-25.54515044171299,-54.586544162603985,foz do iguacu,PR
12516,-22.80542888959945,-45.19409932560584,guaratingueta,SP
2345,-23.46862347727612,-46.6163016434943,são paulo,SP
30850,-19.924056460730547,-44.00839562738766,belo horizonte,MG
3890,-23.51440869109581,-46.49609632431185,são paulo,SP
28960,-22.840860422407182,-42.20161419013372,iguaba grande,RJ
30820,-19.906689677217347,-43.997641233567926,belo horizonte,MG
31510,-19.81514790036926,-43.96138091090084,belo horizonte,MG
78140,-15.647048685815694,-56.14950755037796,varzea grande,MT
91720,-30.079793901754247,-51.20371150998331,porto alegre,RS
90240,-30.006246227306853,-51.199760209561894,porto alegre,RS
36036,-21.75235665620664,-43.35306041155228,juiz de fora,MG
8575,-23.502772177374094,-46.35331852162551,itaquaquecetuba,SP
28021,-21.79316652861995,-41.28905684287332,campos dos goytacazes,RJ
35700,-19.469723416144323,-44.25715594807028,sete lagoas,MG
24412,-22.84253965411849,-43.070542568938244,sao goncalo,RJ
72915,-15.734161012879355,-48.26876074255232,aguas lindas de goias,GO
2478,-23.477453549541238,-46.65931423175024,sao paulo,SP
74210,-16.70262693844374,-49.27402104836562,goiania,GO
4038,-23.59692938718329,-46.64586351165676,sao paulo,SP
37576,-22.326379869140826,-46.33215314297214,inconfidentes,MG
83980,-25.925960999999948,-50.13360349999997,antônio olinto,PR
44718,-10.675068235318466,-41.286077775216896,ourolandia,BA
9133,-23.736015602764887,-46.49318873027397,santo andre,SP
21040,-22.86253002801672,-43.25529525644875,rio de janeiro,RJ
18077,-23.4502286128167,-47.474467376074784,sorocaba,SP
89515,-26.934522178464885,-50.693765607092374,lebon regis,SC
83050,-25.500640525679454,-49.18076049653756,são josé dos pinhais,PR
50771,-8.053053264391513,-34.90483433455472,recife,PE
4127,-23.601594489035726,-46.6314525,são paulo,SP
30240,-19.92416706994057,-43.9164795066651,belo horizonte,MG
1435,-23.57885991312255,-46.66926988135491,sao paulo,SP
15480,-20.18083017041368,-49.35168522422062,orindiuva,SP
81825,-25.522452041635386,-49.2684966201743,curitiba,PR
86360,-23.149856999999948,-50.346318499999974,bandeirantes,PR
76230,-16.440677833478087,-51.810403763685905,piranhas,GO
89120,-26.84200592255761,-49.282976441023685,timbó,SC
27933,-22.40367514208428,-41.80089015330687,macaé,RJ
13181,-22.83845993546138,-47.19581789735374,sumare,SP
11665,-23.632213372343603,-45.42027446278549,caraguatatuba,SP
65540,-3.5058545145842634,-42.56479444819326,santa quiteria do maranhao,MA
54325,-8.159871258670456,-34.93803059394657,jaboatao dos guararapes,PE
2533,-23.49635799140165,-46.657370398840065,sao paulo,SP
37503,-22.444700510796906,-45.47797666500267,itajubá,MG
48609,-9.442714682253404,-38.219310817527116,paulo afonso,BA
31140,-19.894919606151603,-43.93121867332222,belo horizonte,MG
24800,-22.76881359763792,-42.92674662660528,itaboraí,RJ
29109,-20.352040793753734,-40.311500806766794,vila velha,ES
99010,-28.24823423589571,-52.386791705805685,passo fundo,RS
19450,-21.831949977882104,-51.99057062812538,caiua,SP
13284,-23.01392004376525,-46.99392048036057,vinhedo,SP
65200,-2.5322111444405677,-45.10377093851487,pinheiro,MA
28020,-21.777459243439306,-41.302978543954616,campos dos goytacazes,RJ
11740,-24.17822994553957,-46.78847748713644,itanhaem,SP
4823,-23.72137308964741,-46.69706987607478,sao paulo,SP
13565,-21.969376473950696,-47.890867738753215,sao carlos,SP
14050,-21.173953474320538,-47.825253031911856,ribeirao preto,SP
35164,-19.438193623577302,-42.56325593372589,ipatinga,MG
35680,-20.074513591295933,-44.57818450777672,itauna,MG
11075,-23.950676374218563,-46.33329214714775,santos,SP
25525,-22.80254555383833,-43.38951279610285,são joão de meriti,RJ
78058,-15.558061085313733,-56.02385385525999,cuiaba,MT
4430,-23.686256457817567,-46.64935314948953,sao paulo,SP
88818,-28.667047499999995,-49.43028600000001,criciuma,SC
13860,-22.056308972555147,-46.967973440995124,aguai,SP
18053,-23.494975953834267,-47.506665557463435,sorocaba,SP
78890,-12.551194842344115,-55.719508675481826,sorriso,MT
88600,-28.29036230279932,-49.94103944613523,sao joaquim,SC
4833,-23.744095105250782,-46.706748821050155,sao paulo,SP
5372,-23.58147399916328,-46.76750891548849,são paulo,SP
35600,-19.74164985126914,-45.25269411379555,bom despacho,MG
7095,-23.45938677768481,-46.537183037192,guarulhos,SP
89300,-26.125892296821174,-49.820570296821174,mafra,SC
14620,-20.71680108278905,-47.876743372854364,orlandia,SP
