product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
97afd188bb555122d11925deb0052174,esporte_lazer,42.0,578.0,1.0,350.0,16.0,6.0,11.0
bfa8fb32cecbf90899f6f517b77a766f,moveis_decoracao,47.0,610.0,1.0,2800.0,30.0,35.0,30.0
a45b5f919e448b4372904ecc17aa7d21,moveis_decoracao,60.0,2084.0,2.0,1200.0,69.0,11.0,11.0
7509198b81c7761e30fc8845ccf330b0,construcao_ferramentas_construcao,58.0,151.0,1.0,250.0,20.0,10.0,11.0
da86f2cc2faf840b7b86390726b88905,perfumaria,37.0,107.0,2.0,200.0,22.0,3.0,11.0
e13f46cf68d356e0ac0f32058af20911,fashion_bolsas_e_acessorios,56.0,142.0,6.0,150.0,16.0,9.0,11.0
0a9e2c135ec43f84cc6c583695531d68,cool_stuff,33.0,385.0,2.0,50.0,20.0,6.0,15.0
fb18a209851c75740dc49860261492b6,automotivo,48.0,1459.0,3.0,225.0,17.0,15.0,15.0
cce61e7ab409679afd6ba99a47349582,moveis_decoracao,54.0,351.0,1.0,600.0,35.0,10.0,35.0
e33c23f84ae4675691f3254c27d583d4,telefonia,55.0,448.0,1.0,325.0,22.0,9.0,17.0
db886bd83f6a076a2caeb7fd02722c35,informatica_acessorios,56.0,186.0,1.0,710.0,33.0,14.0,15.0
711ffb7574aa22c89aa744dd74fefd5c,ferramentas_jardim,63.0,1330.0,4.0,3100.0,37.0,9.0,16.0
0dc88ec6b2635cd62b46f0f1d4c714ee,casa_construcao,57.0,231.0,2.0,4100.0,27.0,27.0,31.0
d94b46bf2d98ad7dc02d380f1cf562fb,esporte_lazer,38.0,347.0,2.0,800.0,26.0,14.0,16.0
30d1842be9c62546d3fb853119602ac2,eletrodomesticos_2,50.0,914.0,3.0,11900.0,65.0,35.0,35.0
8c041ababf83e5aeefa568c6836424e9,moveis_decoracao,55.0,384.0,1.0,600.0,25.0,10.0,20.0
a3cd9517ebf5a50dca25acce54f3b171,utilidades_domesticas,52.0,1910.0,4.0,30000.0,75.0,58.0,65.0
7d28cd96eae3fa5a49bdbfa00af70ea8,automotivo,59.0,2034.0,6.0,1775.0,42.0,30.0,31.0
9c522bd0c17e3f233d657b8faec798b6,automotivo,60.0,865.0,6.0,2050.0,30.0,25.0,30.0
2c14830d33060649974768f49b7abd89,bebes,50.0,1075.0,3.0,1100.0,42.0,25.0,15.0
95d9302f8b3a134daca8adb478c92813,cama_mesa_banho,57.0,503.0,1.0,25200.0,58.0,40.0,50.0
3e0569568b8fa37cc1f767bc94fdc395,automotivo,41.0,967.0,4.0,2600.0,100.0,5.0,43.0
8fc237f3709cf31cbe92dca0083b5681,instrumentos_musicais,45.0,405.0,1.0,200.0,16.0,16.0,11.0
a896b01f0fb94712f1e92bf9b0ebbe0e,brinquedos,60.0,1067.0,4.0,300.0,17.0,5.0,12.0
